Name,Team,Matches,Wickets,Balls,Wickper100balls,Type,StrikeRate
A Flintoff,ENG,79,226,14951,1.51,Pace,66.15
A Kumble,IND,132,619,40850,1.52,Spin,65.99
A Nel,SA,36,123,7630,1.61,Pace,62.03
AA Donald,SA,72,330,15519,2.13,Pace,47.03
AA Mallett,AUS,38,132,9990,1.32,Spin,75.68
Abdul Qadir,PAK,67,236,17126,1.38,Spin,72.57
Abdul Razzaq,PAK,46,100,7008,1.43,Pace,70.08
AF Giles,ENG,54,143,12180,1.17,Spin,85.17
AK Davidson,AUS,44,186,11587,1.61,Pace,62.3
AL Valentine,WI,36,139,12953,1.07,Spin,93.19
AME Roberts,WI,47,202,11135,1.81,Pace,55.12
AN Connolly,AUS,29,102,7818,1.3,Pace,76.65
AR Caddick,ENG,62,234,13558,1.73,Pace,57.94
ARC Fraser,ENG,46,177,10876,1.63,Pace,61.45
AV Bedser,ENG,51,236,15918,1.48,Pace,67.45
AW Greig,ENG,58,141,9802,1.44,Pace,69.52
B Lee,AUS,76,310,16531,1.88,Pace,53.33
B Yardley,AUS,33,126,8909,1.41,Spin,70.71
BA Reid,AUS,27,113,6244,1.81,Pace,55.26
BA Stokes,ENG,100,197,11471,1.72,Pace,58.23
BL Cairns,NZ,43,130,10628,1.22,Pace,81.75
BR Taylor,NZ,30,111,6334,1.75,Pace,57.06
BS Bedi,IND,67,266,21364,1.25,Spin,80.32
BS Chandrasekhar,IND,58,242,15963,1.52,Spin,65.96
C Blythe,ENG,19,100,4546,2.2,Spin,45.46
CA Walsh,WI,132,519,30019,1.73,Pace,57.84
CEH Croft,WI,27,125,6165,2.03,Pace,49.32
CEL Ambrose,WI,98,405,22103,1.83,Pace,54.58
CJ McDermott,AUS,71,291,16586,1.75,Pace,57
CL Cairns,NZ,62,218,11698,1.86,Pace,53.66
CL Hooper,WI,102,114,13794,0.83,Spin,121
CM Old,ENG,46,143,8858,1.61,Pace,61.94
CR Woakes,ENG,48,149,8569,1.74,Pace,57.51
CRD Fernando,SL,40,100,6181,1.62,Pace,61.81
CS Martin,NZ,71,233,14026,1.66,Pace,60.2
CTB Turner,AUS,17,101,5179,1.95,Pace,51.28
CV Grimmett,AUS,37,216,14513,1.49,Spin,67.19
D Bishoo,WI,36,117,8067,1.45,Spin,68.95
D Gough,ENG,58,229,11821,1.94,Pace,51.62
DA Allen,ENG,39,122,11297,1.08,Spin,92.6
Danish Kaneria,PAK,61,261,17697,1.47,Spin,67.8
DE Malcolm,ENG,40,128,8480,1.51,Pace,66.25
DG Cork,ENG,37,131,7678,1.71,Pace,58.61
DK Lillee,AUS,70,355,18467,1.92,Pace,52.02
DK Morrison,NZ,48,160,10064,1.59,Pace,62.9
DL Underwood,ENG,86,297,21862,1.36,Spin,73.61
DL Vettori,NZ,113,362,28814,1.26,Spin,79.6
DR Doshi,IND,33,114,9322,1.22,Spin,81.77
DVP Wright,ENG,34,108,8135,1.33,Spin,75.32
DW Steyn,SA,93,439,18608,2.36,Pace,42.39
EAS Prasanna,IND,49,189,14353,1.32,Spin,75.94
EJ Chatfield,NZ,43,123,10360,1.19,Pace,84.23
Fazal Mahmood,PAK,34,139,9834,1.41,Pace,70.75
FH Edwards,WI,55,165,9602,1.72,Pace,58.19
FJ Titmus,ENG,53,153,15118,1.01,Spin,98.81
FS Trueman,ENG,67,307,15178,2.02,Pace,49.44
G Giffen,AUS,31,103,6391,1.61,Pace,62.05
GA Lohmann,ENG,18,112,3830,2.92,Pace,34.2
GAR Lock,ENG,49,174,13147,1.32,Spin,75.56
GD McGrath,AUS,124,563,29248,1.92,Pace,51.95
GD McKenzie,AUS,60,246,17681,1.39,Pace,71.87
GF Lawson,AUS,46,180,11118,1.62,Pace,61.77
GG Arnold,ENG,34,115,7650,1.5,Pace,66.52
GP Swann,ENG,60,255,15349,1.66,Spin,60.19
GR Dilley,ENG,41,138,8192,1.68,Pace,59.36
GS Sobers,WI,93,235,21599,1.09,Pace,91.91
H Trumble,AUS,32,141,8099,1.74,Spin,57.44
H Verity,ENG,40,144,11173,1.29,Spin,77.59
Harbhajan Singh,IND,103,417,28580,1.46,Spin,68.54
HH Streak,ZIM,65,216,13559,1.59,Pace,62.77
HJ Tayfield,SA,37,170,13568,1.25,Spin,79.81
HMRKB Herath,SL,93,433,25993,1.67,Spin,60.03
I Sharma,IND,105,311,19160,1.62,Pace,61.61
IK Pathan,IND,29,100,5884,1.7,Pace,58.84
Imran Khan,PAK,88,362,19458,1.86,Pace,53.75
Intikhab Alam,PAK,47,125,10474,1.19,Spin,83.79
Iqbal Qasim,PAK,50,171,13019,1.31,Spin,76.13
IR Bishop,WI,43,161,8407,1.92,Pace,52.22
IT Botham,ENG,102,383,21815,1.76,Pace,56.96
IWG Johnson,AUS,45,109,8780,1.24,Spin,80.55
J Briggs,ENG,33,118,5332,2.21,Spin,45.19
J Garner,WI,58,259,13169,1.97,Pace,50.85
J Srinath,IND,67,236,15104,1.56,Pace,64
JA Snow,ENG,49,202,12021,1.68,Pace,59.51
JB Statham,ENG,70,252,16056,1.57,Pace,63.71
JC Laker,ENG,46,193,12027,1.6,Spin,62.32
JE Emburey,ENG,64,147,15391,0.96,Spin,104.7
JE Taylor,WI,46,130,7757,1.68,Pace,59.67
JG Bracewell,NZ,41,102,8403,1.21,Spin,82.38
JH Kallis,SA,166,292,20232,1.44,Pace,69.29
JH Wardle,ENG,28,102,6597,1.55,Spin,64.68
JJ Bumrah,IND,35,157,7044,2.23,Pace,44.87
JM Anderson,ENG,185,696,39655,1.76,Pace,56.98
JN Gillespie,AUS,71,259,14234,1.82,Pace,54.96
JO Holder,WI,64,157,10693,1.47,Pace,68.11
JR Hazlewood,AUS,68,263,14211,1.85,Pace,54.03
JR Thomson,AUS,51,200,10535,1.9,Pace,52.68
K Rabada,SA,62,291,11416,2.55,Pace,39.23
KA Maharaj,SA,50,158,9575,1.65,Spin,60.6
KAJ Roach,WI,81,270,14464,1.87,Pace,53.57
KD Ghavri,IND,39,109,7036,1.55,Pace,64.55
KR Miller,AUS,55,170,10461,1.63,Pace,61.54
LR Gibbs,WI,79,309,27115,1.14,Spin,87.75
M Dillon,WI,38,131,8704,1.51,Pace,66.44
M Morkel,SA,86,309,16498,1.87,Pace,53.39
M Muralidaran,SL,133,800,44039,1.82,Spin,55.05
M Ntini,SA,101,390,20834,1.87,Pace,53.42
MA Holding,WI,60,249,12680,1.96,Pace,50.92
MA Noble,AUS,42,121,7159,1.69,Pace,59.17
MA Starc,AUS,87,353,17105,2.06,Pace,48.46
MA Wood,ENG,33,108,5996,1.8,Pace,55.52
MD Marshall,WI,81,376,17584,2.14,Pace,46.77
MDK Perera,SL,43,161,10805,1.49,Spin,67.11
Mehidy Hasan Miraz,BAN,41,159,10098,1.57,Spin,63.51
MG Hughes,AUS,53,212,12285,1.73,Pace,57.95
MG Johnson,AUS,73,313,16001,1.96,Pace,51.12
MH Mankad,IND,44,162,14686,1.1,Spin,90.65
MHN Walker,AUS,34,138,10094,1.37,Pace,73.14
MJ Hoggard,ENG,67,248,13909,1.78,Pace,56.08
MJ Leach,ENG,36,126,8590,1.47,Spin,68.17
MM Ali,ENG,68,204,12610,1.62,Spin,61.81
Mohammad Amir,PAK,36,119,7619,1.56,Pace,64.03
Mohammad Asif,PAK,23,106,5171,2.05,Pace,48.78
Mohammad Rafique,BAN,33,100,8744,1.14,Spin,87.44
Mohammed Shami,IND,64,229,11515,1.99,Pace,50.28
MS Kasprowicz,AUS,38,113,7140,1.58,Pace,63.19
MS Panesar,ENG,50,167,12475,1.34,Spin,74.7
Mushtaq Ahmed,PAK,52,185,12532,1.48,Spin,67.74
MW Tate,ENG,39,155,12523,1.24,Pace,80.79
N Boje,SA,43,100,8620,1.16,Spin,86.2
N Kapil Dev,IND,131,434,27740,1.56,Pace,63.92
N Wagner,NZ,64,260,13725,1.89,Pace,52.79
NAT Adcock,SA,26,104,6391,1.63,Pace,61.45
NM Lyon,AUS,127,517,32440,1.59,Spin,62.75
NS Yadav,IND,35,102,8360,1.22,Spin,81.96
PAJ DeFreitas,ENG,44,140,9838,1.42,Pace,70.27
PCR Tufnell,ENG,42,121,11288,1.07,Spin,93.29
PH Edmonds,ENG,51,125,12028,1.04,Spin,96.22
PJ Cummins,AUS,60,263,12272,2.14,Pace,46.66
PL Harris,SA,37,103,8809,1.17,Spin,85.52
PM Pollock,SA,28,116,6522,1.78,Pace,56.22
PM Siddle,AUS,67,221,13907,1.59,Pace,62.93
PP Ojha,IND,24,113,7633,1.48,Spin,67.55
PR Adams,SA,45,134,8850,1.51,Spin,66.04
PR Reiffel,AUS,35,104,6403,1.62,Pace,61.57
PT Collins,WI,32,106,6964,1.52,Pace,65.7
R Ashwin,IND,98,501,25785,1.94,Spin,51.47
R Benaud,AUS,63,248,19108,1.3,Spin,77.05
R Illingworth,ENG,61,122,11934,1.02,Spin,97.82
R Peel,ENG,20,101,5216,1.94,Spin,51.64
RA Jadeja,IND,70,287,16802,1.71,Spin,58.54
RAS Lakmal,SL,70,171,12443,1.37,Pace,72.77
RC Motz,NZ,32,100,7034,1.42,Pace,70.34
RGD Willis,ENG,90,325,17357,1.87,Pace,53.41
RJ Harris,AUS,27,113,5736,1.97,Pace,50.76
RJ Shastri,IND,80,151,15751,0.96,Spin,104.31
